"Interstitial Velocity, m/s",Porosity,Salt Conc. (PPM),PV,Clay Percentage,Norm K,Experiment_ID
6.63e-05,0.2,30000,0.342530923,0.07,1.0,ZZ2
0.004568345,0.18,10000,0.1,0.07,1.0,AA3
4.09e-05,0.192,5000,134.4717182,0.0795,1.0,YU2
6.63e-05,0.2,0,79.46717412,0.07,0.167865447,ZZ2
4.09e-05,0.192,5000,137.6734258,0.0795,1.0,YU2
6.63e-06,0.2,30000,8.346153846,0.07,1.0,ZZ1
4.09e-05,0.192,500,316.9690502,0.0795,0.72130102,YU2
0.02804483237764716,0.19,5000,108.0,0.08,1.0,KF1
6.63e-05,0.2,500,75.35680304,0.07,0.485828481,ZZ2
4.09e-05,0.192,0,420.0640342,0.0795,0.236993844,YU2
6.63e-05,0.2,30000,0.1,0.07,1.0,ZZ2
6.63e-05,0.2,30000,11.56041865,0.07,1.0,ZZ2
0.008569254,0.19,30000,2.353286545,0.08,1.0,MG1
6.63e-06,0.2,30000,21.53846154,0.07,1.0,ZZ1
4.09e-05,0.192,10000,81.32337247,0.0795,1.0,YU2
0.004568345,0.18,10000,3.880824304,0.07,1.0,AA3
0.02804483237764716,0.19,5000,84.0,0.08,1.0,KF1
4.09e-05,0.192,30000,12.80683031,0.0795,1.0,YU2
6.63e-05,0.2,0,80.66603235,0.07,0.053894,ZZ2
4.09e-05,0.192,0,553.2550694,0.0795,0.2188818,YU2
0.02804483237764716,0.19,4000,264.0,0.08,0.57,KF1
6.63e-06,0.2,5000,42.13461538,0.07,1.0,ZZ1
3.48e-05,0.226,0,2073.224044,0.1101,0.19047619,YU1
3.48e-05,0.226,0,2325.68306,0.1101,0.178571429,YU1
4.09e-05,0.192,30000,20.4909285,0.0795,1.0,YU2
6.63e-05,0.2,5000,21.49381541,0.07,1.0,ZZ2
0.004568345,0.18,10000,0.543279111,0.07,1.0,AA3
6.63e-05,0.2,0,81.69362512,0.07,0.045040386,ZZ2
3.48e-05,0.226,500,1564.480874,0.1101,0.384615385,YU1
6.63e-05,0.2,500,72.10275928,0.07,0.48653674,ZZ2
6.63e-06,0.2,30000,2.557692308,0.07,1.0,ZZ1
6.63e-05,0.2,0,82.63558516,0.07,0.041764997,ZZ2
6.63e-05,0.2,2500,26.03235014,0.07,1.0,ZZ2
