"Interstitial Velocity, m/s",Porosity,Salt Conc. (PPM),PV,Clay Percentage,Norm K,Experiment_ID
6.63e-05,0.2,500,67.22169363,0.07,0.487603009,ZZ2
6.63e-06,0.2,0,95.71153846,0.07,0.05443609,ZZ1
3.48e-05,0.226,20000,608.1967213,0.1101,0.660714286,YU1
0.004568345,0.18,10000,2.275968738,0.07,1.0,AA3
6.63e-06,0.2,30000,19.51923077,0.07,1.0,ZZ1
6.63e-06,0.2,5000,51.42307692,0.07,1.0,ZZ1
6.63e-05,0.2,0,80.40913416,0.07,0.067076748,ZZ2
4.09e-05,0.192,0,340.6616862,0.0795,0.35512511,YU2
4.09e-05,0.192,5000,149.8399146,0.0795,1.0,YU2
0.004568345,0.18,10000,3.275442744,0.07,1.0,AA3
3.48e-05,0.226,0,1989.071038,0.1101,0.25,YU1
6.63e-05,0.2,2500,38.36346337,0.07,1.0,ZZ2
4.09e-05,0.192,0,514.1942369,0.0795,0.220349345,YU2
6.63e-05,0.2,5000,23.46336822,0.07,1.0,ZZ2
6.63e-05,0.2,0,81.26546147,0.07,0.046249637,ZZ2
0.008569254,0.19,30000,3.930477248,0.08,1.0,MG1
6.63e-05,0.2,500,74.6717412,0.07,0.485977417,ZZ2
6.63e-05,0.2,500,73.64414843,0.07,0.467369326,ZZ2
3.48e-05,0.226,500,1587.431694,0.1101,0.384615385,YU1
3.48e-05,0.226,2500,1132.240437,0.1101,0.416666667,YU1
6.63e-05,0.2,2500,36.90770695,0.07,1.0,ZZ2
0.004568345,0.18,10000,0.155506411,0.07,1.0,AA3
3.48e-05,0.226,0,2398.360656,0.1101,0.183486239,YU1
6.63e-05,0.2,500,68.59181732,0.07,0.487303234,ZZ2
3.48e-05,0.226,500,1530.054645,0.1101,0.384615385,YU1
